date,distance,package_size,delivery_time
09-01-2024,5.2,2,1.5
09-01-2024,128.7,4,15.8
09-02-2024,0.3,1,0.2
09-02-2024,42.6,3,6.5
09-03-2024,7.9,2,1.7
09-03-2024,235.4,4,28.2
09-04-2024,6.8,1,1.6
09-04-2024,51.3,2,7.8
09-05-2024,9.5,3,2.0
09-05-2024,163.2,4,19.1
09-06-2024,0.1,1,0.1
09-06-2024,38.8,3,5.7
09-07-2024,6.4,1,1.5
09-07-2024,347.9,4,41.2
09-08-2024,8.7,3,1.9
09-08-2024,72.2,4,10.5
09-09-2024,7.5,2,1.8
09-09-2024,532.8,4,63.0
09-10-2024,0.5,1,0.3
09-10-2024,55.9,2,8.3
09-11-2024,181.3,4,21.8
09-11-2024,4.7,1,1.2
09-12-2024,29.8,3,4.6
09-12-2024,443.5,4,52.7
09-13-2024,90.1,4,13.0
09-13-2024,0.2,1,0.1
09-14-2024,36.6,3,5.5
09-14-2024,605.9,4,71.4
09-15-2024,68.7,4,10.0
09-15-2024,8.4,2,1.9
09-16-2024,241.2,4,28.2
09-16-2024,0.4,1,0.2
09-17-2024,77.5,4,11.2
09-17-2024,709.3,4,83.0
09-18-2024,33.9,3,5.1
09-18-2024,0.1,1,0.1
09-19-2024,285.8,4,33.4
09-19-2024,7.8,2,1.8
09-20-2024,39.1,3,5.8
09-20-2024,812.3,4,95.6
09-21-2024,59.3,4,8.6
09-21-2024,0.3,1,0.2
09-22-2024,144.6,4,17.7
09-22-2024,5.7,1,1.4
09-23-2024,395.2,4,46.7
09-23-2024,0.2,1,0.1
09-24-2024,30.5,3,4.7
09-24-2024,956.9,4,112.6
09-25-2024,70.8,4,10.3
09-25-2024,0.1,1,0.1
09-26-2024,15.3,2,2.8
09-26-2024,423.7,4,50.1
09-27-2024,0.6,1,0.3
09-27-2024,88.9,4,12.7
09-28-2024,176.5,4,21.2
09-28-2024,3.2,1,0.9
09-29-2024,52.1,3,7.6
09-29-2024,678.4,4,79.8
09-30-2024,0.4,1,0.2
09-30-2024,109.7,4,15.6
10-01-2024,267.3,4,31.5
10-01-2024,1.8,1,0.6
10-02-2024,41.5,3,6.2
10-02-2024,789.6,4,92.8
10-03-2024,0.3,1,0.2
10-03-2024,93.2,4,13.4
10-04-2024,312.8,4,36.9
10-04-2024,2.7,1,0.8
10-05-2024,64.9,3,9.3
10-05-2024,867.5,4,101.9
10-06-2024,0.5,1,0.3
10-06-2024,135.6,4,16.5
10-07-2024,478.2,4,56.3
10-07-2024,1.2,1,0.5
10-08-2024,22.8,2,3.9
10-08-2024,923.1,4,108.4
10-09-2024,0.2,1,0.1
10-09-2024,79.4,4,11.5
10-10-2024,356.7,4,42.1
10-10-2024,3.9,1,1.1
10-11-2024,48.3,3,7.1
10-11-2024,1045.8,4,122.8
10-12-2024,0.7,1,0.4
10-12-2024,112.5,4,16.1
10-13-2024,534.9,4,63.1
10-13-2024,2.1,1,0.7
10-14-2024,86.7,4,12.5
10-14-2024,1189.2,4,139.6
10-15-2024,0.3,1,0.2
10-15-2024,157.3,4,19.0
