date,distance,package_size,delivery_time,location,state,city,courier_company,weather_condition
01-01-2024,5.2,2,1.5,India,Maharashtra,Mumbai,SpeedPost,Rainy
01-02-2024,128.7,4,15.8,India,Karnataka,Bangalore,BlueDart,Cloudy
01-03-2024,0.3,1,0.2,India,Delhi,New Delhi,DelhiVery,Cold
01-04-2024,42.6,3,6.5,India,Tamil Nadu,Chennai,DTDC,Sunny
01-05-2024,7.9,2,1.7,India,West Bengal,Kolkata,FedEx,Foggy
01-06-2024,235.4,4,28.2,India,Gujarat,Ahmedabad,Ekart,Clear
01-07-2024,6.8,1,1.6,India,Telangana,Hyderabad,FirstFlight,Hot
01-08-2024,51.3,2,7.8,India,Rajasthan,Jaipur,Delhivery,Dusty
01-09-2024,9.5,3,2,India,Uttar Pradesh,Lucknow,IndiaPost,Cloudy
01-10-2024,163.2,4,19.1,India,Kerala,Kochi,Aramex,Rainy
01-11-2024,0.1,1,0.1,India,Punjab,Chandigarh,XpressBees,Clear
01-12-2024,38.8,3,5.7,India,Madhya Pradesh,Bhopal,Gati,Sunny
01-13-2024,6.4,1,1.5,India,Odisha,Bhubaneswar,DHL,Humid
01-14-2024,347.9,4,41.2,India,Bihar,Patna,Shadowfax,Hot
01-15-2024,8.7,3,1.9,India,Assam,Guwahati,Ecom Express,Rainy
01-16-2024,72.2,4,10.5,India,Haryana,Gurugram,Safexpress,Smoggy
01-17-2024,7.5,2,1.8,India,Jharkhand,Ranchi,Trackon,Clear
01-18-2024,532.8,4,63,India,Chhattisgarh,Raipur,TCI Express,Sunny
01-19-2024,0.5,1,0.3,India,Uttarakhand,Dehradun,Dotzot,Foggy
01-20-2024,55.9,2,8.3,India,Himachal Pradesh,Shimla,Delhivery,Snowy
01-21-2024,181.3,4,21.8,India,Goa,Panaji,BlueDart,Humid
01-22-2024,4.7,1,1.2,India,Tripura,Agartala,SpeedPost,Rainy
01-23-2024,29.8,3,4.6,India,Manipur,Imphal,DTDC,Cloudy
01-24-2024,443.5,4,52.7,India,Nagaland,Kohima,FedEx,Clear
01-25-2024,90.1,4,13,India,Sikkim,Gangtok,Ekart,Cold
01-26-2024,0.2,1,0.1,India,Mizoram,Aizawl,FirstFlight,Sunny
01-27-2024,36.6,3,5.5,India,Arunachal Pradesh,Itanagar,Delhivery,Foggy
01-28-2024,605.9,4,71.4,India,Meghalaya,Shillong,IndiaPost,Rainy
01-29-2024,68.7,4,10,India,Andhra Pradesh,Visakhapatnam,Aramex,Humid
